a,b,c,f
75.9592272229303,-5.77256311931301,97.9829438021327,1
25.4523739802895,-42.7981805721289,22.2481947030165,1
-8.86471369716558,5.75696691207446,19.6673635950626,0
72.467773022348,-43.3886890967324,-45.1553232712463,0
32.6442179887761,55.0457199826118,-7.6987824904261,1
-16.7211704499653,68.7573859322618,15.6612701321306,0
21.4032633795418,-99.4900610295544,-76.980882220427,0
-26.9503123718083,-82.2752500801698,32.5151294155582,1
-20.5368886331734,33.7979856570242,-14.0287598194688,1
-43.2002248909325,65.2383450256839,59.9286976083781,0
-21.7508175977277,4.10522301872504,-97.7623104107391,1
-25.578906818097,40.537506034848,23.5923923196236,0
-46.0757271135579,41.2457537563731,90.2711708984669,0
-87.5427204126225,-79.0665672063206,47.3556591884027,1
20.4140789436242,51.4959434752799,70.8659360980922,0
24.9612498679018,99.1690708320444,50.3659641139051,0
-60.0749083608738,-65.0166908116158,-0.385638280019933,1
64.4399587830715,-37.5768263533603,-14.9850339232874,1
48.8360457815398,2.90953959473852,-23.4973130391433,1
-34.5321856134255,-54.0107373865371,23.4038337708469,1
-63.7230454775146,-65.664488806233,40.5186218863905,1
59.7386659866845,-5.78140937992437,52.5060878845426,1
-47.3930128605072,-41.7768751931269,-85.4917860522362,0
68.7088251899503,-70.6454433364074,-72.4883678241113,0
25.3900992336637,8.94598379216436,79.5765061767662,0
-24.3365414088296,52.6356086845676,-33.7711935554497,1
61.649193317466,54.5018614989249,34.6289148249798,0
35.6052760666261,-83.1253165300588,30.2550358372997,1
-39.685664111602,13.8092236192009,-58.3179506279146,1
17.2227235125484,25.5850474003633,-62.3720335598905,1
-52.9102946412332,88.4564584998677,-4.74350885708979,1
-33.13266287238,76.1803250648921,86.5979215999124,0
-93.1629626979879,60.6754129569397,-42.7226471447957,1
-81.6401517864504,-27.645737271591,40.9459460251713,1
35.8577501661413,-28.7837335508241,-94.3712474752084,0
-27.8972704559086,-60.9501404505922,53.4771898544753,1
5.43845989994634,-26.8274128096306,50.273930910171,1
-89.7261194836936,3.81862106910842,-8.51259888546197,1
88.7749189458671,0.671678455859265,-82.5391722761743,1
-89.7364139509091,-0.575669901713567,80.4093670008748,1
10.8240385124572,35.3842636269444,32.6380774065098,0
76.8802475076542,21.6191198311835,-59.1019018362751,1
32.2551410329785,-41.4772378939564,32.7656587272723,1
92.9785845768538,-31.1735787108418,91.9601957276278,1
-91.048546410654,43.2893451039164,-17.8524012294842,1
93.6829687998085,99.7475259004848,45.6584170207653,0
24.6262833125081,88.2116063443067,-25.2406359302069,1
-11.7951404823899,-88.215736387398,-47.5875397900061,0
-12.6459644700615,-63.1841751575396,-15.3621625692408,0
-96.2309099716278,-21.907581818247,-24.4913533909672,1
69.1370938760867,96.5734512529212,-38.7489171413467,1
-23.1320141456705,7.53580970109245,36.9699991014646,0
-91.6921313813385,58.9775026584871,49.5971466179924,0
64.7306543610667,39.8475885111129,80.5270974433641,0
-79.288468872797,12.4598753230925,-95.6538340987888,1
58.3137351825432,-98.6775730730396,60.529275965192,1
-90.6601976559778,95.0919501460586,0.924152555374505,1
-28.1975892969396,-14.3626972634172,11.2127237539798,1
5.65000293108169,-77.3808210051529,23.6000000143424,1
-19.774382803484,-10.4737880222843,-15.1967050112769,0
56.2602607329657,28.4860510046063,80.4303439242907,0
-42.7429878817606,-76.1585092992329,-27.747029963763,0
30.7091128689745,32.0834677350165,-64.246464597176,1
45.1775996690512,85.375100181147,-59.2299767580023,1
96.0612704027729,59.8956289514413,-51.6359821668062,1
-5.76773337357106,-32.5066716095929,-0.675611710490472,0
-51.9337056912173,29.0403003473954,-64.5066020845001,1
24.1085614655672,94.42928768435,-16.9995319643056,1
74.5844940536583,-2.66531682697372,10.9361485163384,1
50.0383591046735,71.2179829232478,-15.0833692937546,1
-86.6300009128777,28.0822514221455,-30.5487093192286,1
-35.2061483707308,-91.529606371899,-88.6384624934934,0
-99.9032464809265,63.4545190089636,-11.3816153776746,1
32.0931958649741,-72.3953776864313,-30.761040808056,0
24.7757405623681,-35.8377973250289,-90.2831500350885,0
-39.8458706866232,-24.2588596997125,25.7416737851415,1
-37.151294079214,-88.5822636953473,55.12585060444,1
-75.7243882751672,-67.8406771122667,60.4859116303203,1
-50.6901029267768,-67.8483007326016,34.0567633202564,1
-2.57012411140377,-17.3274819354189,26.5068075277409,1
61.3168215198986,80.6707537643009,60.8654848117686,0
50.8369046965786,31.8076005819289,-42.7071512409985,1
71.3187325612263,31.2674187735037,51.4252353233403,0
-62.9975196733128,-5.86448689264454,4.03880938144346,1
-89.2939963328159,15.9730984438085,1.43567803382672,1
66.254438723556,99.3328209031992,30.2670850093789,0
-26.7163819292171,14.4303647402815,-78.4064571272612,1
85.1944747311969,-12.8103468161125,59.8002466185951,1
29.7907801018054,89.0943873622894,-4.07707146558775,1
8.96537905045105,-84.516045443954,76.3186943607026,1
-22.6952258137498,2.66687763047725,-19.2179990556175,1
62.1115770945845,70.7763743450755,-53.0661314507323,1
8.37347438017532,73.9388358657895,32.3546020930422,0
52.42400120591,-11.1646032478495,44.4737215267838,1
74.3164384618013,-74.1537744059012,17.2822231972973,1
-48.9129587770034,-86.4303919423513,16.1862244439247,1
-40.9497664035064,-16.9445416503328,-67.1811216358008,0
-96.2103216891225,-75.8537421821867,68.2421533242996,1
4.91326465500205,76.1223467887017,-6.51889941958659,1
-98.9347618068265,-78.9538754052268,42.7132132196395,1
61.3699202245893,-37.6466464892247,15.7834642174577,1
75.1065409626376,59.697706140437,91.4686354768782,0
-76.7431915629391,-51.4055734274004,45.196724098733,1
-45.498190515441,-42.1190356566194,-74.6060149625903,0
97.9124829163367,20.8596168648729,-74.4050320118689,1
-22.880178654045,-89.1219637306044,-38.6565724102112,0
-57.4819765787022,-21.2962611211912,75.5247793046407,1
79.7367040904875,-50.0848545460426,32.4284962063788,1
43.4998159965034,-26.4849041246273,-21.4793801873361,0
12.539847620083,-42.8016875604175,94.6540275563738,1
53.4527679688543,7.30823618700181,52.8927112710163,1
89.6413888734027,91.0540809813207,-73.5179567586248,1
-71.3097426906739,99.2098974991636,-33.8514805463382,1
25.8135877204191,-72.1697672140644,64.975181485049,1
70.9895003451917,-95.4515758880654,-74.8255059937134,0
-92.5751066732104,-94.1228046054592,3.2866409529404,1
42.6471853361685,-72.206556690953,65.2443105193061,1
-67.8623270093754,58.5472147718758,42.3423857159644,0
67.1884339149988,81.6332161341017,-87.5617919431821,1
83.3549680110789,-68.3932750338657,-13.8173897349357,1
12.9480156642143,10.716960816978,91.3961141330172,0
50.5426965423593,1.04904151570473,50.5727281563788,1
-27.4987262336066,-91.7289059570659,29.8055358835522,1
99.1129247467559,-51.570435963371,-88.331861229768,0
95.194908136127,16.7044357008787,-49.1264939071268,1
-89.4504021804083,-91.2527962547042,-54.6332786579771,0
7.25400220009217,36.0749226697138,-32.3620995191681,1
75.2339788597236,69.8926622839145,-70.5951308694645,1
-70.5902829629324,21.3150949782297,48.7610214151261,1
-89.4496744449482,-77.5470450415961,-90.579135152781,0
-85.9561648154427,-54.6647107017528,67.6031725330293,1
79.9659091885974,-87.1344279437952,17.1132719689576,1
73.5790673520319,-79.5531961971676,3.49938259622984,1
-25.3982341500922,34.9236195603961,97.6061013516067,0
73.4811050693882,43.5342605894126,79.363879272418,0
53.5761717490741,-63.0572351455024,-58.157220929003,0
-8.53112037690875,56.638836095407,72.8860123888059,0
67.071486714795,-23.8990341890133,-4.46819770357953,1
-81.4552902157676,37.7140368044907,40.8242985330635,1
61.9912450024817,21.1329795052917,79.7339465374751,0
-98.1882932587472,-38.0490517886584,85.8181390845301,1
20.3846710363332,85.0690895621987,-96.9057252616183,1
-55.9350337627973,-84.7710010524704,3.83886364467389,1
33.7602341239155,-63.0294695324402,88.3003999424635,1
41.867338745793,-67.3477636498156,-98.8486968906823,0
-29.9682008707748,-98.2471262096647,-73.6415983054981,0
-49.9590101418826,-24.1664547120065,-15.627669876268,1
6.91824234412901,19.0814459319606,-34.1858811370031,1
-63.4651475415868,-53.0276515302377,69.2343234872605,1
-27.9286297633912,61.421199404365,-24.8484647482859,1
76.2889734358941,-88.4121776504499,-0.686175702459252,1
23.7654360587548,-27.209940891345,-27.0273286509455,0
-88.2120377329234,-46.9035659669449,58.4651710272139,1
76.2696045340363,9.51120551187134,-78.286234093032,1
38.0039154263231,57.7086454991757,19.6683056278472,0
84.5856124463424,-74.795852030998,-56.5512705391977,0
-5.61950081289723,48.5129106550072,35.9611630141554,0
14.4658968385616,11.9502551443643,-54.7005657827019,1
-4.63838358625695,-5.10653560287624,42.869502279381,1
20.0040202215333,-16.15018142208,38.0967410924364,1
-66.1400487488788,71.9935960005939,-46.1922004568354,1
-71.3126716070402,57.4712606880214,-74.6172918819903,1
-11.0134243550773,-81.8980973129618,59.8621772415294,1
28.1786317602632,-41.7561631378514,48.6564397572803,1
-32.1067693327119,-26.2286146759189,66.3223397761222,1
-37.341435783236,68.9143269178059,61.3728004327849,0
46.1458132351496,-48.0507599879293,-78.2317994992397,0
25.7855940264583,77.6908710495061,-87.0917112506422,1
39.1903722375586,-38.1769234026675,-0.362432794814211,1
-45.9856099197574,-71.5961803549883,77.8965947115312,1
30.1031690696735,-8.21605795445667,69.2466154551351,1
-79.6315700652225,42.4096532829151,37.5176095112774,0
67.9059663638035,9.31658703336333,-99.7626151888457,1
-5.71440249016247,-4.4009631985803,-92.8977547180363,0
-16.4134477807272,66.2018674268396,-9.73092620714145,1
87.3047232568752,-53.4273338287265,-61.8211301797168,0
-21.022905558824,-67.2969478030209,25.9791374793179,1
81.4967018465962,73.8582069863836,-68.0994214341507,1
16.328540591676,8.07435722466296,94.3027249510878,0
-59.1004892061932,-10.5030438445988,-4.35181590931109,1
25.7451409128239,-65.0278144353199,89.6980830420265,1
81.9655825299982,98.0754626905897,66.4598948166053,0
79.4098243021452,-52.4751992674895,31.361732041166,1
-71.1952697351553,-5.24740214703949,-40.4022601155575,1
61.1354156216306,-48.1397842746879,56.350203210651,1
-85.3340447812034,-57.8009581928146,-88.5109963773335,0
22.6392149564993,51.8856489806835,-84.749589573941,1
-38.5413026150974,75.0372956390666,95.7007674480327,0
-48.0825427677867,48.6064672230773,17.9257350591597,0
37.3460368892858,4.03988934310149,-65.6647039417479,1
43.2148845601896,27.0064555699967,-80.1803691220378,1
4.58920072046539,68.5404565970136,-39.3731487632604,1
-82.5958377600628,1.62096968927466,68.1264047362499,1
23.8091789762532,-92.10510104527,99.047865438763,1
6.81713777911716,-49.8276358236688,37.9504543440186,1
-33.6186024051246,-79.6387137750344,21.9979912610715,1
-24.4496246448018,1.66258537287945,-34.1246845825225,1
82.8137213284214,18.2602958373075,37.6113071747177,1
-19.6022263353701,-35.7135564720787,-40.0651100743865,0
93.9973155939939,30.0481252977849,-50.5310045324876,1
-51.4658402425544,-57.9362125871406,43.4849113894091,1
-2.97356401708609,-14.4101542953449,67.7461422829638,1
-60.2218909935196,-43.4537850988348,-16.6802408717015,1
-4.27664802608857,97.2617929788594,40.5780721179108,0
-56.6374011135834,98.830035980246,43.9907500259535,0
-83.797455012704,54.6415596057855,24.8649314627354,1
-42.2496868959859,85.536059637338,28.2451809981117,0
95.9277437980882,-38.2043384659124,-97.622696029778,0
68.4599806407746,60.4011632317682,-91.2538402673108,1
-17.7916762967555,-75.8085729441645,4.2540130690923,1
-99.3080386888739,-76.5931533540567,71.5728443914898,1
18.6574092687375,-24.7249807811924,65.8311115418706,1
-44.4370459506461,-90.2092982037967,64.5825184716762,1
70.2043120610548,-73.396711411605,63.8150713238004,1
-61.321767867227,79.8270233812868,4.40079239402003,1
25.2972432995668,39.4511224420048,19.4302598570614,0
93.6205571487642,-35.8047713226661,9.64488392213588,1
35.0699584628781,36.2470024899798,44.5120656604469,0
21.2238144694007,-47.3935840406425,80.2681258787718,1
